## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/BB016.sorted.bam_insert_size_histogram.pdf INPUT=/home/vdp5/projects/vivax_cambodia/data/sequences_bam/BB016.sorted.bam OUTPUT=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/BB016.sorted.bam_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 14:16:56 EST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
334	62	2	2959845	336.549612	98.681196	6342863	FR	23	47	71	97	125	157	195	243	317	573			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	43
3	52
4	52
5	46
6	42
7	39
8	60
9	58
10	62
11	100
12	79
13	88
14	109
15	99
16	93
17	105
18	99
19	1610
20	1079
21	478
22	461
23	359
24	290
25	336
26	303
27	304
28	232
29	286
30	189
31	270
32	250
33	233
34	287
35	290
36	254
37	247
38	243
39	251
40	205
41	230
42	182
43	237
44	212
45	251
46	201
47	167
48	176
49	208
50	219
51	241
52	253
53	269
54	288
55	284
56	263
57	260
58	292
59	295
60	281
61	298
62	313
63	311
64	347
65	361
66	412
67	403
68	488
69	427
70	452
71	508
72	523
73	578
74	532
75	523
76	565
77	565
78	603
79	622
80	667
81	694
82	673
83	901
84	722
85	739
86	704
87	793
88	776
89	810
90	861
91	928
92	946
93	996
94	1005
95	1137
96	1004
97	989
98	1032
99	1042
100	1202
101	1101
102	1114
103	1193
104	1214
105	1268
106	1338
107	1279
108	1387
109	1369
110	1380
111	1443
112	1640
113	1585
114	1671
115	1604
116	1656
117	1769
118	1768
119	1858
120	1921
121	2031
122	2195
123	2256
124	2229
125	2237
126	2131
127	2204
128	2331
129	2380
130	2374
131	2400
132	2528
133	2493
134	2575
135	2625
136	2786
137	2701
138	2838
139	3009
140	2953
141	3036
142	3140
143	3112
144	3291
145	3304
146	3412
147	3544
148	3722
149	3689
150	3744
151	3810
152	3897
153	4045
154	4066
155	4244
156	4318
157	4367
158	4415
159	4462
160	4662
161	4700
162	4975
163	5041
164	5084
165	5330
166	5372
167	5392
168	5444
169	5522
170	5657
171	5736
172	6072
173	6281
174	5962
175	6279
176	6328
177	6615
178	6649
179	6785
180	6947
181	6980
182	7290
183	7197
184	7503
185	7458
186	7624
187	7630
188	7914
189	8018
190	8076
191	8519
192	8473
193	8636
194	8693
195	9016
196	9071
197	9102
198	9500
