## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/OM093.sorted.bam_insert_size_histogram.pdf INPUT=/home/vdp5/projects/vivax_cambodia/data/sequences_bam/OM093.sorted.bam OUTPUT=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/OM093.sorted.bam_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 14:31:00 EST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
185	34	2	2749565	182.081131	63.975424	2926701	FR	11	21	33	49	69	101	125	151	207	575			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	47
3	28
4	23
5	25
6	31
7	27
8	31
9	33
10	42
11	48
12	60
13	44
14	51
15	97
16	96
17	74
18	60
19	78
20	86
21	97
22	122
23	87
24	119
25	137
26	130
27	136
28	157
29	176
30	593
31	312
32	300
33	256
34	285
35	743
36	400
37	399
38	420
39	535
40	443
41	536
42	906
43	1075
44	1034
45	1688
46	2279
47	1460
48	2988
49	2494
50	3630
51	3818
52	3679
53	4734
54	4693
55	2989
56	3258
57	3138
58	3183
59	4025
60	3152
61	2860
62	3354
63	3341
64	2497
65	3223
66	4657
67	3660
68	3820
69	3928
70	5037
71	4250
72	4982
73	7797
74	4313
75	4125
76	5004
77	5433
78	4045
79	3815
80	5074
81	5844
82	6474
83	13312
84	5869
85	5069
86	4406
87	4260
88	5796
89	5344
90	8267
91	5084
92	3523
93	5468
94	5226
95	10441
96	4335
97	5016
98	5182
99	4938
100	8291
101	3877
102	3861
103	4152
104	5136
105	6060
106	9857
107	6071
108	6884
109	6995
110	8460
111	9937
112	11968
113	11842
114	11276
115	10239
116	10916
117	11705
118	12937
119	15881
120	12159
121	16784
122	27588
123	34397
124	34515
125	16867
126	8611
127	9552
128	11148
129	16718
130	16841
131	14707
132	10069
133	8522
134	7690
135	8070
136	8350
137	9490
138	8256
139	8850
140	9046
141	10029
142	13156
143	7969
144	7637
145	13090
146	10609
147	10311
148	10836
149	8766
150	9174
151	13708
152	8837
153	10723
154	11268
155	20032
156	16382
157	8951
158	9471
159	10156
160	14147
161	18250
162	11097
163	9981
164	10380
165	11057
166	12309
167	14818
168	15810
169	15719
170	16020
171	16729
172	22174
173	20614
174	20294
175	20598
176	22016
177	24050
178	24633
179	27903
180	26706
181	27564
182	28363
183	29358
184	30200
185	31676
186	31758
187	32498
188	32637
