## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/KP014.sorted.bam_insert_size_histogram.pdf INPUT=/home/vdp5/projects/vivax_cambodia/data/sequences_bam/KP014.sorted.bam OUTPUT=../data/nyu_pipeline_results/CollectAlignmentSummaryMetrics/KP014.sorted.bam_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 06 14:21:04 EST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
398	90	2	3056684	403.756488	137.633345	5467024	FR	33	67	103	139	181	227	281	351	451	759			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	32
3	37
4	42
5	35
6	35
7	34
8	49
9	47
10	53
11	92
12	71
13	67
14	107
15	102
16	61
17	82
18	99
19	2023
20	1124
21	644
22	479
23	320
24	289
25	354
26	284
27	296
28	270
29	284
30	212
31	247
32	155
33	248
34	293
35	232
36	173
37	201
38	215
39	222
40	199
41	179
42	180
43	215
44	177
45	195
46	165
47	192
48	247
49	215
50	270
51	259
52	254
53	264
54	306
55	244
56	263
57	251
58	250
59	295
60	254
61	269
62	300
63	388
64	318
65	365
66	363
67	360
68	356
69	372
70	422
71	416
72	441
73	451
74	482
75	400
76	410
77	456
78	467
79	503
80	513
81	536
82	490
83	645
84	629
85	553
86	603
87	595
88	645
89	665
90	634
91	674
92	680
93	669
94	730
95	816
96	746
97	795
98	789
99	785
100	876
101	845
102	860
103	862
104	887
105	958
106	983
107	966
108	994
109	1122
110	1059
111	1038
112	1130
113	1169
114	1176
115	1258
116	1215
117	1278
118	1263
119	1339
120	1363
121	1415
122	1472
123	1602
124	1624
125	1524
126	1621
127	1747
128	1629
129	1704
130	1842
131	1830
132	1853
133	1812
134	1822
135	1973
136	1932
137	2103
138	2053
139	2156
140	2215
141	2316
142	2360
143	2406
144	2414
145	2534
146	2656
147	2674
148	2698
149	2654
150	2806
151	2870
152	2971
153	2985
154	3059
155	2983
156	3094
157	3208
158	3226
159	3393
160	3348
161	3450
162	3501
163	3633
164	3572
165	3716
166	3763
167	3887
168	3885
169	3855
170	3954
171	4165
172	3971
173	4153
174	4309
175	4357
176	4306
177	4309
178	4524
179	4639
180	4677
181	4907
182	4871
183	4830
184	4897
185	4963
186	4973
187	5060
188	5069
189	5269
190	5331
191	5467
192	5569
193	5407
194	5515
195	5591
196	5694
197	5617
198	5806
199	5951
200	5792
201	5851
202	6019
203	6056
204	6368
205	6026
206	6381
207	6273
208	6183
209	6434
210	6770
211	6670
212	6539
213	6524
214	6861
215	6872
216	6862
217	6954
218	7099
219	7139
220	7109
221	7063
222	7128
223	7386
224	7277
225	7430
226	7351
227	7474
228	7488
229	7497
230	7651
231	7688
232	7644
233	7704
234	7923
235	8112
236	8130
237	7819
238	8104
239	8399
240	8058
241	8319
242	8475
243	8491
244	8306
245	8332
246	8745
247	8674
248	8542
249	8674
250	8885
251	9160
252	8850
253	9072
254	8931
255	9409
256	9388
257	9355
258	9389
259	9562
260	9579
261	9653
262	9542
263	9798
264	9867
265	9853
266	10062
267	10069
268	10160
269	10464
270	10344
271	10353
272	10515
273	10616
274	10309
275	10663
276	10676
277	10821
278	10614
279	10906
280	11179
281	11101
282	11036
283	11304
284	11191
285	11401
286	11611
287	11475
288	11525
289	11686
290	11837
291	11477
292	11788
293	12070
294	12230
295	12140
296	11925
297	12153
298	12015
299	12477
300	12553
301	12601
302	12833
303	12829
304	12820
305	12641
306	12826
307	12777
308	13188
309	13334
310	13045
311	13294
312	13443
313	13558
314	13545
315	13479
316	13589
317	13559
318	13682
319	13722
320	14030
321	14198
322	14118
323	14237
324	14174
325	14058
326	14212
327	14383
328	14374
329	14540
330	14683
331	14370
332	14801
333	14715
334	14861
335	14730
336	14976
337	15148
338	14716
339	15334
340	15215
341	15119
342	15525
343	15455
344	15508
345	15444
346	15400
347	15405
348	15778
349	15712
350	15750
351	15710
352	16016
353	15890
354	15806
355	15897
356	15828
357	16100
358	15934
359	16422
360	16245
361	16148
362	16310
363	16516
364	16440
365	16347
366	16372
367	16331
368	16439
369	16546
370	16293
371	16576
372	16560
373	16582
374	16472
375	16797
376	16639
377	16466
378	16551
379	16724
380	16808
381	16662
382	16745
383	16534
384	16647
385	16845
386	16839
387	16603
388	16920
389	16630
390	16900
391	16920
392	16531
393	16946
394	16775
395	16926
396	16742
397	16895
398	16878
399	16588
400	16609
401	16695
402	16730
403	16579
404	16554
405	16590
406	16497
407	16617
408	16587
409	16446
410	16641
411	16686
412	16429
413	16741
414	16350
415	16346
416	16236
417	16374
418	16070
419	16222
420	16089
421	16093
422	16303
423	16208
424	16109
425	16056
426	15955
427	15938
428	15867
429	15825
430	15730
431	15780
432	15884
433	15417
434	15844
435	15802
436	15549
437	15561
438	15574
439	15213
440	15230
441	15396
442	15253
443	15238
444	15410
445	15448
446	15150
447	15023
448	14836
449	14704
450	14707
451	14968
452	14537
453	14425
454	14500
455	14554
456	14566
457	14542
458	14022
459	14209
460	14117
461	14224
462	14003
463	13967
464	13914
465	13910
466	13543
467	13640
468	13806
469	13621
470	13470
471	13299
472	13289
473	13540
474	13234
475	13323
476	13202
477	13034
478	12798
479	12835
480	12729
481	12711
482	12630
483	12489
484	12624
485	12465
486	12421
487	12250
488	12253
489	11973
490	11798
491	11764
492	11948
493	11842
494	11567
495	11740
496	11626
497	11614
498	11525
499	11375
500	11320
501	11382
502	11102
503	10928
504	11018
505	10700
506	10980
507	10926
508	10607
509	10677
510	10736
511	10423
512	10560
513	10355
514	10222
515	10189
516	10259
517	10107
518	10284
519	10206
520	10011
521	9918
522	9549
523	9710
524	9613
525	9554
526	9646
527	9326
528	9526
529	9206
530	9103
531	9099
532	8814
533	8962
534	8739
535	8818
536	8862
537	8614
538	8609
539	8609
540	8417
541	8517
542	8323
543	8188
544	8286
545	8187
546	8090
547	8096
548	7824
549	7788
550	7842
551	7876
552	7707
553	7598
554	7540
555	7257
556	7339
557	7501
558	7492
559	7216
560	7236
561	7204
562	7179
563	7120
564	7017
565	6945
566	6666
567	6657
568	6812
569	6661
570	6520
571	6282
572	6491
573	6379
574	6467
575	6391
576	6153
577	6037
578	6285
579	6287
580	6043
581	6010
582	5940
583	5774
584	5777
585	5918
586	5756
587	5610
588	5658
589	5602
590	5570
591	5411
592	5473
593	5310
594	5284
595	5220
596	5129
597	5131
598	5128
599	5047
600	4842
601	4985
602	4963
603	4918
604	4817
605	4726
606	4671
607	4594
608	4749
609	4523
610	4672
611	4447
612	4426
613	4369
614	4326
615	4326
616	4165
617	4289
618	4218
619	4177
620	4020
621	4026
622	4089
623	3940
624	3972
625	3879
626	3940
627	3862
628	3746
629	3779
630	3716
631	3582
632	3632
633	3630
634	3531
635	3534
636	3464
637	3410
638	3349
639	3339
640	3354
641	3412
642	3292
643	3233
644	3183
645	3262
646	3106
647	3005
648	2980
649	3100
650	3116
651	3022
652	2977
653	3031
654	2847
655	2838
656	2778
657	2809
